station_abbr;reference_timestamp;tre200s0;tre005s0;tresurs0;xchills0;ure200s0;tde200s0;pva200s0;prestas0;pp0qnhs0;pp0qffs0;ppz850s0;ppz700s0;fkl010z1;fve010z0;fkl010z0;dkl010z0;wcc006s0;fu3010z0;fkl010z3;fu3010z1;fu3010z3;rre150z0;htoauts0;gre000z0;ods000z0;oli000z0;olo000z0;osr000z0;sre000z0
CHZ;01.01.2025 00:00;-1.8;;;-3.8;99.4;-1.9;5.3;977.7;1030.6;1033.4;;;2.2;1.4;1.5;301;;5.4;2.1;7.9;7.6;0;0;4;;;;;0
CHZ;01.01.2025 00:10;-1.8;;;-1.8;99.4;-1.9;5.3;977.6;1030.5;1033.3;;;2.1;1.1;1.1;265;;4;2;7.6;7.2;0;0;5;;;;;0
CHZ;01.01.2025 00:20;-1.7;;;-1.7;99.4;-1.8;5.4;977.5;1030.4;1033.2;;;1.4;0.7;0.8;303;;2.9;1.3;5;4.7;0;0;5;;;;;0
CHZ;01.01.2025 00:30;-1.7;;;-3.7;99.4;-1.8;5.4;977.4;1030.3;1033;;;2;1.5;1.5;295;;5.4;2;7.2;7.2;0;0;4;;;;;0
CHZ;01.01.2025 00:40;-1.7;;;-1.7;99.4;-1.8;5.4;977.4;1030.3;1033;;;1.8;1.3;1.3;295;;4.7;1.7;6.5;6.1;0;0;4;;;;;0
CHZ;01.01.2025 00:50;-1.6;;;-1.6;99.4;-1.7;5.4;977.4;1030.3;1033;;;2;1.1;1.2;295;;4.3;1.8;7.2;6.5;0;0;4;;;;;0
CHZ;01.01.2025 01:00;-1.5;;;-1.5;99.4;-1.6;5.4;977.5;1030.4;1033.1;;;1.5;0.8;0.9;253;;3.2;1.4;5.4;5;0;0;5;;;;;0
CHZ;01.01.2025 01:10;-1.6;;;-1.6;99.4;-1.7;5.4;977.6;1030.5;1033.2;;;2;0.6;0.7;274;;2.5;1.6;7.2;5.8;0;0;4;;;;;0
CHZ;01.01.2025 01:20;-1.6;;;-1.6;99.4;-1.7;5.4;977.7;1030.6;1033.3;;;2.4;0.6;0.9;350;;3.2;2.2;8.6;7.9;0;0;5;;;;;0
CHZ;01.01.2025 01:30;-1.6;;;-1.6;99.4;-1.7;5.4;977.6;1030.5;1033.2;;;1.1;0.2;0.4;114;;1.4;1;4;3.6;0;0;5;;;;;0
CHZ;01.01.2025 01:40;-1.5;;;-1.5;99.4;-1.6;5.4;977.5;1030.4;1033.1;;;1.8;0.5;0.8;137;;2.9;1.6;6.5;5.8;0;0;5;;;;;0
CHZ;01.01.2025 01:50;-1.5;;;-1.5;99.4;-1.6;5.4;977.6;1030.5;1033.2;;;2.3;0.6;0.8;204;;2.9;2.2;8.3;7.9;0;0;5;;;;;0
CHZ;01.01.2025 02:00;-1.4;;;-1.4;99.4;-1.5;5.5;977.5;1030.4;1033.1;;;1.4;0.7;0.8;200;;2.9;1.4;5;5;0;0;5;;;;;0
CHZ;01.01.2025 02:10;-1.4;;;-1.4;99.4;-1.5;5.5;977.5;1030.4;1033.1;;;1.5;0.7;0.8;249;;2.9;1.3;5.4;4.7;0;0;5;;;;;0
CHZ;01.01.2025 02:20;-1.4;;;-1.4;99.4;-1.5;5.5;977.5;1030.4;1033.1;;;1.5;0.8;0.9;300;;3.2;1.4;5.4;5;0;0;5;;;;;0
CHZ;01.01.2025 02:30;-1.5;;;-3.9;99.4;-1.6;5.4;977.5;1030.4;1033.1;;;3.1;1.8;1.8;287;;6.5;2.9;11.2;10.4;0;0;4;;;;;0
CHZ;01.01.2025 02:40;-1.9;;;-4.8;99.4;-2;5.3;977.5;1030.4;1033.2;;;3;2.1;2.1;294;;7.6;2.6;10.8;9.4;0;0;3;;;;;0
CHZ;01.01.2025 02:50;-2.2;;;-5;99.4;-2.3;5.2;977.4;1030.3;1033.2;;;3.3;2;2;286;;7.2;2.9;11.9;10.4;0;0;3;;;;;0
CHZ;01.01.2025 03:00;-2.2;;;-2.2;99.4;-2.3;5.2;977.2;1030;1032.9;;;1.9;1.2;1.2;291;;4.3;1.9;6.8;6.8;0;0;4;;;;;0
CHZ;01.01.2025 03:10;-2.2;;;-2.2;99.4;-2.3;5.2;977.1;1029.9;1032.8;;;1.8;0.9;0.9;293;;3.2;1.6;6.5;5.8;0;0;4;;;;;0
CHZ;01.01.2025 03:20;-2;;;-2;99.4;-2.1;5.2;977;1029.8;1032.7;;;2;1.2;1.3;296;;4.7;2;7.2;7.2;0;0;4;;;;;0
CHZ;01.01.2025 03:30;-2.2;;;-5.6;99.4;-2.3;5.2;977.2;1030;1032.9;;;3.3;2.5;2.5;308;;9;3.2;11.9;11.5;0;0;3;;;;;0
CHZ;01.01.2025 03:40;-2.5;;;-6.2;99.4;-2.6;5.1;977.2;1030;1033;;;3.5;2.7;2.7;307;;9.7;3.4;12.6;12.2;0;0;3;;;;;0
CHZ;01.01.2025 03:50;-2.7;;;-6.2;99.4;-2.8;5;977.3;1030.1;1033.2;;;4;2.5;2.5;305;;9;3.8;14.4;13.7;0;0;3;;;;;0
CHZ;01.01.2025 04:00;-2.8;;;-5.7;99.4;-2.9;4.9;977.3;1030.1;1033.2;;;3;1.9;2;283;;7.2;2.7;10.8;9.7;0;0;4;;;;;0
CHZ;01.01.2025 04:10;-2.8;;;-5.1;99.4;-2.9;4.9;977.2;1030;1033.1;;;3;1.6;1.6;275;;5.8;2.8;10.8;10.1;0;0;4;;;;;0
CHZ;01.01.2025 04:20;-2.8;;;-5.1;99.4;-2.9;4.9;977.2;1030;1033.1;;;2.9;1.6;1.6;279;;5.8;2.7;10.4;9.7;0;0;4;;;;;0
CHZ;01.01.2025 04:30;-2.8;;;-5.3;99.4;-2.9;4.9;977.1;1029.9;1033;;;3.3;1.6;1.7;279;;6.1;3.1;11.9;11.2;0;0;4;;;;;0
CHZ;01.01.2025 04:40;-2.7;;;-2.7;99.4;-2.8;5;977.2;1030;1033.1;;;2.8;1.3;1.3;305;;4.7;2.7;10.1;9.7;0;0;4;;;;;0
CHZ;01.01.2025 04:50;-2.6;;;-2.6;99.4;-2.7;5;977.1;1029.9;1032.9;;;2.9;0.8;0.9;263;;3.2;2.7;10.4;9.7;0;0;5;;;;;0
CHZ;01.01.2025 05:00;-2.5;;;-2.5;99.4;-2.6;5.1;977;1029.8;1032.8;;;1.9;0.6;0.9;208;;3.2;1.8;6.8;6.5;0;0;5;;;;;0
CHZ;01.01.2025 05:10;-2.5;;;-2.5;99.4;-2.6;5.1;976.9;1029.7;1032.7;;;1.6;0.7;0.7;236;;2.5;1.5;5.8;5.4;0;0;5;;;;;0
CHZ;01.01.2025 05:20;-2.5;;;-2.5;99.4;-2.6;5.1;976.8;1029.6;1032.6;;;0.8;0.2;0.3;186;;1.1;0.7;2.9;2.5;0;0;5;;;;;0
CHZ;01.01.2025 05:30;-2.3;;;-2.3;99.4;-2.4;5.1;976.7;1029.5;1032.4;;;0.7;0.1;0.3;258;;1.1;0.7;2.5;2.5;0;0;5;;;;;0
CHZ;01.01.2025 05:40;-2.3;;;-2.3;99.4;-2.4;5.1;976.7;1029.5;1032.4;;;1.2;0.4;0.5;323;;1.8;1.1;4.3;4;0;0;5;;;;;0
CHZ;01.01.2025 05:50;-2.2;;;-2.2;99.4;-2.3;5.2;976.7;1029.5;1032.4;;;0.9;0.4;0.5;340;;1.8;0.8;3.2;2.9;0;0;5;;;;;0
CHZ;01.01.2025 06:00;-2.2;;;-2.2;99.4;-2.3;5.2;976.7;1029.5;1032.4;;;2.1;1;1;304;;3.6;1.9;7.6;6.8;0;0;5;;;;;0
CHZ;01.01.2025 06:10;-2.2;;;-2.2;99.4;-2.3;5.2;976.7;1029.5;1032.4;;;2.4;1.2;1.3;294;;4.7;2.3;8.6;8.3;0;0;4;;;;;0
CHZ;01.01.2025 06:20;-2.3;;;-4.2;99.4;-2.4;5.1;976.6;1029.4;1032.3;;;2.3;1.3;1.4;292;;5;2.2;8.3;7.9;0;0;4;;;;;0
CHZ;01.01.2025 06:30;-2.3;;;-2.3;99.4;-2.4;5.1;976.5;1029.3;1032.2;;;1.8;0.9;0.9;258;;3.2;1.6;6.5;5.8;0;0;5;;;;;0
CHZ;01.01.2025 06:40;-2.3;;;-2.3;99.4;-2.4;5.1;976.4;1029.2;1032.1;;;0.8;0.4;0.4;228;;1.4;0.7;2.9;2.5;0;0;5;;;;;0
CHZ;01.01.2025 06:50;-2;;;-2;99.4;-2.1;5.2;976.4;1029.2;1032.1;;;1.4;0.6;0.7;220;;2.5;1.4;5;5;0;0;5;;;;;0
CHZ;01.01.2025 07:00;-1.8;;;-1.8;99.4;-1.9;5.3;976.4;1029.2;1032;;;1.4;0.7;0.8;158;;2.9;1.3;5;4.7;0;0;6;;;;;0
CHZ;01.01.2025 07:10;-1.7;;;-1.7;99.4;-1.8;5.4;976.3;1029.1;1031.9;;;1.7;0.8;0.9;166;;3.2;1.5;6.1;5.4;0;0;7;;;;;0
CHZ;01.01.2025 07:20;-1.6;;;-1.6;99.4;-1.7;5.4;976.2;1029;1031.8;;;1.8;0.8;0.9;175;;3.2;1.7;6.5;6.1;0;0;8;;;;;0
CHZ;01.01.2025 07:30;-1.6;;;-1.6;99.4;-1.7;5.4;976.1;1028.9;1031.7;;;1.8;0.4;0.8;186;;2.9;1.6;6.5;5.8;0;0;11;;;;;0
CHZ;01.01.2025 07:40;-1.5;;;-1.5;99.4;-1.6;5.4;976.1;1028.9;1031.6;;;1.4;0.5;0.6;167;;2.2;1.4;5;5;0;0;15;;;;;0
CHZ;01.01.2025 07:50;-1.4;;;-1.4;99.4;-1.5;5.5;976.1;1028.9;1031.6;;;1.9;0.9;0.9;172;;3.2;1.8;6.8;6.5;0;0;23;;;;;0
CHZ;01.01.2025 08:00;-1.4;;;-1.4;99.4;-1.5;5.5;976;1028.8;1031.5;;;2.1;1.1;1.1;178;;4;2;7.6;7.2;0;0;26;;;;;0
CHZ;01.01.2025 08:10;-1.3;;;-1.3;99.4;-1.4;5.5;976;1028.8;1031.5;;;1.8;0.8;0.9;177;;3.2;1.7;6.5;6.1;0;0;36;;;;;0
CHZ;01.01.2025 08:20;-1.3;;;-1.3;99.4;-1.4;5.5;976;1028.8;1031.5;;;1.7;1.1;1.1;168;;4;1.7;6.1;6.1;0;0;40;;;;;0
CHZ;01.01.2025 08:30;-1.2;;;-1.2;99.4;-1.3;5.6;976;1028.8;1031.5;;;1.8;0.9;0.9;167;;3.2;1.7;6.5;6.1;0;0;50;;;;;0
CHZ;01.01.2025 08:40;-1.1;;;-1.1;99.4;-1.2;5.6;976.1;1028.9;1031.5;;;1.3;0.3;0.5;148;;1.8;1.1;4.7;4;0;0;53;;;;;0
CHZ;01.01.2025 08:50;-1.1;;;-1.1;99.4;-1.2;5.6;976.2;1029;1031.7;;;0.9;0.2;0.4;108;;1.4;0.8;3.2;2.9;0;0;52;;;;;0
CHZ;01.01.2025 09:00;-1;;;-1;99.4;-1.1;5.6;976.3;1029.1;1031.7;;;2.7;0.8;1;127;;3.6;2.6;9.7;9.4;0;0;60;;;;;0
